Date,Close,High,Low,Open,Volume,sentiment_score
2010-01-04,15.555864334106444,15.624368011883234,15.493567368563983,15.560828190523049,78169752,0.0
2010-01-05,15.4873628616333,15.582919942994092,15.426554669728128,15.566538647973085,120067812,0.0
2010-01-06,15.096943855285645,15.5337735905078,15.049786277126842,15.5337735905078,158988852,0.0
2010-01-07,14.745495796203612,15.140132809436482,14.709507835023048,15.125240293435954,256315428,0.0
2010-01-08,14.94207000732422,14.972597536172898,14.621643984303,14.693373982065,188783028,0.0
2010-01-11,14.91948413848877,15.002630629433716,14.744006886730208,15.002630629433716,288227484,0.0
2010-01-12,14.655648231506348,14.84626486135361,14.594094708320636,14.83360645975559,193937868,0.0
2010-01-13,14.571508407592772,14.603525659974146,14.24413413017102,14.308417395269844,259604136,0.0
2010-01-14,14.64001178741455,14.74797850733287,14.465279871224102,14.492333268362035,169434396,0.0
2010-01-15,14.395535469055176,14.732093068520234,14.346887216937448,14.726631691433,217162620,0.0
2010-01-19,14.58466339111328,14.65415927752993,14.303454473577991,14.425320562231036,172495332,0.0
2010-01-20,14.40571117401123,14.543957603681072,14.27863436727496,14.543957603681072,129897972,0.0
2010-01-21,14.46949863433838,14.56480694762187,14.203181305682053,14.480916071614043,252055692,0.0
2010-01-22,13.651187896728516,14.162228682717403,13.27516628570426,14.010828212804944,271743984,0.0
2010-01-25,13.402739524841309,13.64796046243213,13.291297732927893,13.566301808870705,176619204,0.0
2010-01-26,13.462803840637209,13.641010832084872,13.310658987964697,13.352356139948576,174045780,0.0
2010-01-27,13.45486068725586,13.59261148273977,13.286333604429151,13.43425992696555,158417424,0.0
2010-01-28,13.261016845703123,13.576478025853616,13.169431433322986,13.514180120278724,129034836,0.0
2010-01-29,13.153051376342772,13.427311064471787,13.04558123647957,13.365261913381628,165454380,0.0
2010-02-01,13.229497909545898,13.298745984189614,13.16198831986633,13.26871313621268,89941968,0.0
2010-02-02,13.182339668273926,13.277647987225247,13.09522152372814,13.277647987225247,163684152,0.0
2010-02-03,13.423091888427734,13.45486132688158,13.110610120756004,13.121530983456614,119844036,0.0
2010-02-04,13.074621200561523,13.353099415690544,13.044340540756483,13.32828013308655,134972892,0.0
2010-02-05,13.186558723449709,13.24141085178772,12.96739991629646,13.11482872612867,126113760,0.0
2010-02-08,13.2406644821167,13.452379379604984,13.192514698922285,13.216589590519492,107664228,0.0
2010-02-09,13.314380645751951,13.440714008965983,13.28037709386677,13.39132231283546,112671216,0.0
2010-02-10,13.26499080657959,13.347888539613397,13.097207149386197,13.255558721942904,106873020,0.0
2010-02-11,13.31338882446289,13.414902915428142,13.142131975544482,13.236943724570953,96303600,0.0
2010-02-12,13.231978416442873,13.332002771833045,13.1669507622294,13.22825646997989,91096812,0.0
2010-02-16,13.435006141662598,13.50524641531156,13.261266430842522,13.325054069234309,146029824,0.0
2010-02-17,13.358312606811523,13.487128850833882,13.343421036608952,13.452380907837703,81106812,0.0
2010-02-18,13.482660293579102,13.527088134463895,13.306935229370527,13.341683171517486,93382524,0.0
2010-02-19,13.421603202819824,13.502763392615613,13.395294195533973,13.415894956946367,102021876,0.0
2010-02-22,13.47223663330078,13.58889010670967,13.427560975846273,13.585166268219664,85698216,0.0
2010-02-23,13.280377388000488,13.49283574665455,13.211379024777727,13.477199787581847,114789096,0.0
2010-02-24,13.191025733947754,13.364020104039396,13.16719865544467,13.253323645841968,92970936,0.0
2010-02-25,13.065935134887695,13.117063427239584,12.906342599286004,13.083059873265848,132235632,0.0
2010-02-26,13.075118064880373,13.197977308805251,12.992715957964688,13.090507156576994,81890028,0.0
2010-03-01,13.221307754516602,13.236200271274738,13.098449457010654,13.134686180384486,89426484,0.0
2010-03-02,13.429049491882324,13.543221034635907,13.278889987712352,13.29055429438253,174097728,0.0
2010-03-03,13.534782409667969,13.604277346718424,13.38412539187458,13.461314874035558,123452424,0.0
2010-03-04,13.76486110687256,13.803083177676454,13.556622233175087,13.564068017420777,127224648,0.0
