Date,Close,High,Low,Open,Volume,sentiment_score
2010-01-04,23.07738494873047,23.18922982283887,22.80895611312252,22.831325656818095,38409100,0.0
2010-01-05,23.08483505249023,23.189224811659603,22.846232326704975,23.002816254366817,49749600,0.0
2010-01-06,22.943172454833984,23.174318736998828,22.756763841627052,23.025191277559337,58182400,0.0
2010-01-07,22.704565048217773,22.890973623581846,22.510699959176993,22.83877802784487,50559700,0.0
2010-01-08,22.861148834228516,23.025187877641937,22.54798235339588,22.57780840975358,51197400,0.0
2010-01-11,22.570350646972656,22.93571128403326,22.45850578618832,22.89842871564877,68754700,0.0
2010-01-12,22.421226501464844,22.66728580010039,22.301925109531535,22.480877197431496,65912100,0.0
2010-01-13,22.62999153137207,22.756749364601404,22.3764758649134,22.562884359533953,51863500,0.0
2010-01-14,23.08483505249023,23.189224811659603,22.56289194538109,22.60017308796587,63228100,0.0
2010-01-15,23.01026725769043,23.293607571170675,22.89842101234793,23.174306236843822,79913200,0.0
2010-01-19,23.189220428466797,23.293608745720412,22.87605405452179,22.9282482131486,46575700,0.0
2010-01-20,22.8089542388916,23.069926538490044,22.600176114775923,22.97299327929238,54849500,0.0
2010-01-21,22.376482009887695,22.905881597344184,22.36902549739311,22.823862804272427,73086700,0.0
2010-01-22,21.59356689453125,22.518154603087503,21.50409158220932,22.369027186305026,102004600,0.0
2010-01-25,21.861995697021484,22.115511452486352,21.697956676149577,21.80234501468766,63373000,0.0
2010-01-26,21.99620819091797,22.257180436941994,21.69049829254775,21.7725185070027,66639900,0.0
2010-01-27,22.122970581054688,22.23481544588049,21.638308552019794,21.88436782351041,63949500,0.0
2010-01-28,21.74269676208496,22.272097871369255,21.541375153391584,22.24972832967512,117513700,0.0
2010-01-29,21.011972427368164,22.309375792110025,20.62424229385421,22.294462766470783,193888500,0.0
2010-02-01,21.18346786499023,21.235662032319773,20.818107271499077,21.168554839414824,85931100,0.0
2010-02-02,21.22075080871582,21.250576862399335,20.98214806798577,21.153645032296943,54413700,0.0
2010-02-03,21.34750747680664,21.46681026256214,20.96723526928914,21.07162360686771,61397900,0.0
2010-02-04,20.758453369140625,21.250571759264652,20.736083834249833,21.16109504188566,77850000,0.0
2010-02-05,20.892669677734375,21.086534731603724,20.557133734078903,20.877756653086507,80960100,0.0
2010-02-08,20.668973922729492,20.93740261724026,20.557129107411335,20.885208464904053,52820600,0.0
2010-02-09,20.885223388671875,21.13128272706984,20.691358239906048,20.85539732477636,59195800,0.0
2010-02-10,20.87030029296875,21.056708835873632,20.75845545166268,20.900126342482004,48591300,0.0
2010-02-11,20.967241287231445,21.17601802231094,20.654074762427356,20.825570344009755,65993700,0.0
2010-02-12,20.8255672454834,20.922499083464785,20.56459494327788,20.736090499344357,81117200,0.0
2010-02-16,21.23759078979492,21.2525735598788,20.99038079875331,21.07278317654345,51935600,0.0
2010-02-17,21.417369842529297,21.46231670316532,21.24507235272876,21.372422981893276,45882900,0.0
2010-02-18,21.70203399658203,21.74698228356397,21.357439036062985,21.417368656537377,42856500,0.0
2010-02-19,21.552209854125977,21.664577709710453,21.492280235891936,21.567192615893187,44451800,0.0
2010-02-22,21.522245407104492,21.67956155585934,21.462315785872857,21.60464917211107,36707100,0.0
2010-02-23,21.22260093688965,21.59716149096736,21.04281204239256,21.484793610511073,52266200,0.0
2010-02-24,21.44733238220215,21.567193049917144,21.26005214284754,21.36493004849381,43165900,0.0
2010-02-25,21.424861907958984,21.46231738821204,20.990371764382616,21.177652023317854,48735300,0.0
2010-02-26,21.477291107177734,21.612133065439103,21.357431906241935,21.462308349852165,40370600,0.0
2010-03-01,21.73949432373047,21.761967041923302,21.37242516195164,21.552214051669733,43805400,0.0
2010-03-02,21.31998634338379,21.94924819713363,21.15518021171983,21.78444206546968,93123900,0.0
2010-03-03,21.31998634338379,21.432355654209584,21.23758399196938,21.3574432566041,48442100,0.0
2010-03-04,21.44733238220215,21.46231514427088,21.177649809139204,21.31998176228762,42890600,0.0
2010-03-05,21.417369842529297,21.4847908479008,21.290019213364783,21.469808084743818,56001800,0.0
2010-03-08,21.44733238220215,21.672069526728578,21.34994728642508,21.36493004849381,39414500,0.0
2010-03-09,21.57468605041504,21.806914608787523,21.38740578459951,21.394897166692335,50271600,0.0
2010-03-10,21.70203399658203,21.80691190403836,21.574683374469583,21.619631661451525,44891400,0.0
2010-03-11,21.859352111816406,21.86684349365467,21.612142226493557,21.642106325011635,35349700,0.0
2010-03-12,21.926774978637695,22.009177328175326,21.754477468253885,21.96423046216979,31700200,0.0
