Date,Close,High,Low,Open,Volume,RSI,SMA_20,EMA_20,MACD,MACD_SIGNAL,BB_LOWER,BB_MIDDLE,BB_UPPER,ret_1,ret_5,ret_10,log_ret,vol_10,vol_20,vol_ratio,scaled_ret_1,mom_5,mom_10,mom_diff,ma_5,ma_10,ma_20,ma_ratio_5_10,ma_ratio_10_20,trend_strength,volume_chg,volume_ma_10,volume_ratio,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_7,ret_lag_10,ret_lag_14,day_of_week,month,is_month_start,is_month_end,target,stock,pred,position
2022-10-31,1410.220947265625,1418.245811891941,1403.4341822194212,1403.4341822194212,4542336,66.59947830762654,1338.2181640625,1350.787134877185,22.79149517455926,13.092504212193775,1252.9637382387652,1338.2181640625,1423.4725898862346,0.0161241620020948,0.0359577048778707,0.0544036170810295,0.0159955483846356,0.0090057145953034,0.0145258161859993,0.6199372581022252,1.7902379198851004,0.0359577048778707,0.0544036170810295,-0.0184459122031588,1391.482421875,1374.3817993164062,1338.2181640625,1.012442410520206,1.0270237217107578,0.0377701507808247,0.4873491354399388,3996362.7,1.136617554757696,-0.0070210319156155,0.0093719723290157,0.0055671340518008,-0.0002667080011772,-0.0121368217191956,0.0382772408189613,0.0078901045001207,0,10,0,1,1,xg_INFY.NS,0,0.0
2022-11-01,1442.641357421875,1444.4756121674843,1418.887736075427,1424.3447111160303,4542692,71.2670773981993,1346.235235595703,1359.5351560719175,27.10337058594905,15.894677486944833,1253.3103744264697,1346.235235595703,1439.1600967649365,0.0229895962183175,0.0476599864012998,0.0672778392327886,0.0227293170432085,0.0105294061039437,0.0150157283036804,0.7011784385393146,2.1831633074158137,0.0476599864012998,0.0672778392327886,-0.0196178528314887,1404.60810546875,1383.4757568359375,1346.2352355957032,1.015274823955819,1.0276627146991557,0.0404624958051695,7.837377067665408e-05,4021992.3,1.1294631270176403,0.0161241620020948,-0.0070210319156155,0.0093719723290157,0.01156288105703,0.0104009185758522,0.010649608600735,-0.026561392188644,1,11,1,0,0,xg_INFY.NS,0,0.0
2022-11-02,1424.5740966796875,1442.412180597886,1416.9618941495685,1441.7243350182016,2938906,65.75251381840948,1354.242547607422,1365.729340891705,28.731487266881004,18.462039442932067,1263.4233743242944,1354.242547607422,1445.0617208905496,-0.0125237368589482,0.0288118350143564,0.0442743038215154,-0.0126028198212786,0.0120578543778626,0.0149198772935753,0.8081196661978154,-1.0385511315186775,0.0288118350143564,0.0442743038215154,-0.0154624688071589,1412.5871337890626,1389.5155517578123,1354.2425476074218,1.0166040473617322,1.0260462974027131,0.040955810103263,-0.3530474881413928,3846682.5,0.7640105467501506,0.0229895962183175,0.0161241620020948,-0.0070210319156155,0.0055671340518008,-0.0002667080011772,0.0092286371138956,0.0034413763917893,2,11,0,0,0,xg_INFY.NS,1,2.5036043149021387
2022-11-03,1403.8927001953125,1415.9529473175023,1395.546863646527,1411.2297190433037,3174027,60.026679815688055,1359.598681640625,1369.3639465396675,28.02985489259686,20.375602532865027,1270.43075803212,1359.598681640625,1448.7666052491302,-0.0145175997040645,0.0044621650068268,0.0417575734408677,-0.0146240112033853,0.0124382989106606,0.0148564896299793,0.8371736558753994,-1.1670753961561915,0.0044621650068268,0.0417575734408677,-0.0372954084340408,1413.8344482421876,1395.1428833007812,1359.598681640625,1.0133975990309922,1.026143156903672,0.0386324158491722,0.0800028990379413,3808768.1,0.833347401748919,-0.0125237368589482,0.0229895962183175,0.0161241620020948,0.0093719723290157,0.01156288105703,-0.0121368217191956,-0.0061593885893276,3,11,0,0,0,xg_INFY.NS,1,2.5036043149021387
2022-11-04,1388.531005859375,1394.4464333286137,1376.7459401225124,1394.4464333286137,4509682,56.11764303848688,1363.018688964844,1371.1893807605925,25.93528006665724,21.487538039623473,1274.9848381292863,1363.018688964844,1451.0525398004015,-0.0109422139838751,0.0004956368564186,0.0197520807930704,-0.0110025203341379,0.0130654347604949,0.0148380866395826,0.880474322836247,-0.8374291981281586,0.0004956368564186,0.0197520807930704,-0.0192564439366518,1413.972021484375,1397.8323974609375,1363.0186889648437,1.0115461796798773,1.025541622266774,0.0366958550471805,0.4208076994934195,3801342.4,1.1863393310738897,-0.0145175997040645,-0.0125237368589482,0.0229895962183175,-0.0070210319156155,0.0055671340518008,0.0104009185758522,0.0382772408189613,4,11,0,0,0,xg_INFY.NS,1,2.5036043149021387
2022-11-07,1382.5235595703125,1401.2788807869697,1367.528549999092,1395.3175530956448,4898592,54.61964995846179,1366.3175048828127,1372.268826361518,23.51944618205948,21.893919668110676,1280.7045379195122,1366.3175048828127,1451.9304718461133,-0.0043264761562485,-0.0196404597088256,0.0156110193151695,-0.0043358624370108,0.0132071870779948,0.0148729977131572,0.8879379527073652,-0.3275601814768807,-0.0196404597088256,0.0156110193151695,-0.0352514790239951,1408.4325439453123,1399.9574829101562,1366.3175048828125,1.006053798875048,1.024620908322644,0.030462438611599,0.0862388966672151,3931753.1,1.245905293493316,-0.0109422139838751,-0.0145175997040645,-0.0125237368589482,0.0161241620020948,0.0093719723290157,-0.0002667080011772,0.010649608600735,0,11,0,0,1,xg_INFY.NS,1,2.5036043149021387
2022-11-09,1385.962890625,1402.2878032270442,1376.6999262188187,1402.2878032270442,3334755,55.35443028896828,1369.2689025878908,1373.5730229580402,21.63303355111566,21.841742444711674,1285.3187355960015,1369.2689025878908,1453.21906957978,0.0024877196709447,-0.0392879813858687,0.0064995403568461,0.0024846304187651,0.0127526817337605,0.0148199174415163,0.8604515735333466,0.1950589424196973,-0.0392879813858687,0.0064995403568461,-0.0457875217427149,1397.0968505859375,1400.8524780273438,1369.2689025878906,0.9973190414406128,1.02306601382662,0.0200784221470013,-0.3192421414153291,4166944.9,0.8002877599843473,-0.0043264761562485,-0.0109422139838751,-0.0145175997040645,0.0229895962183175,-0.0070210319156155,0.01156288105703,0.0092286371138956,2,11,0,0,0,xg_INFY.NS,1,2.5036043149021387
2022-11-10,1377.479248046875,1386.696421822738,1361.9339857187604,1361.9339857187604,3435763,53.07174462981022,1373.5583801269534,1373.945044395072,19.231786827749374,21.319751321319217,1297.9456140392667,1373.5583801269534,1449.17114621464,-0.0061211181305866,-0.0330588972118602,-0.0051995496897284,-0.0061399289757249,0.012794725280902,0.0133588881775726,0.9576970339003784,-0.4783721122649144,-0.0330588972118602,-0.0051995496897284,-0.0278593475221318,1387.677880859375,1400.1325073242188,1373.5583801269531,0.9911046801644184,1.019346922258091,0.0102502456951288,0.0302894815361247,4119087.1,0.8341078779322647,0.0024877196709447,-0.0043264761562485,-0.0109422139838751,-0.0125237368589482,0.0161241620020948,0.0055671340518008,-0.0121368217191956,3,11,0,0,1,xg_INFY.NS,1,2.5036043149021387
2022-11-11,1439.9818115234375,1443.1000672976652,1418.475217234108,1418.475217234108,7214098,64.640768007847,1380.7507263183595,1380.2342603120592,22.117261987598567,21.479253454575087,1308.8733342769133,1380.7507263183595,1452.6281183598062,0.0453745953452182,0.0257064598477534,0.0302833313201624,0.0443752856289298,0.0192844073071386,0.0163396652593385,1.1801482376072587,2.3527942460630635,0.0257064598477534,0.0302833313201624,-0.004576871472409,1394.895703125,1404.3650756835937,1380.7507263183593,0.9932571859535996,1.0171025435041412,0.0098230246336763,1.0997076922942588,4164483.2,1.7322912960720476,-0.0061211181305866,0.0024877196709447,-0.0043264761562485,-0.0145175997040645,0.0229895962183175,0.0093719723290157,0.0104009185758522,4,11,0,0,1,xg_INFY.NS,1,2.5036043149021387
2022-11-14,1453.922119140625,1459.516573917289,1438.468432811522,1444.613253594111,4908813,66.61746806027851,1389.0392578125002,1387.252151629065,25.23796066078785,22.23099489581764,1324.238922370716,1389.0392578125002,1453.8395932542844,0.0096808914568435,0.0470937364778389,0.0476127147257623,0.0096343318781197,0.0190269478249125,0.0161324105202703,1.1793506277551633,0.50877223050658,0.0470937364778389,0.0476127147257623,-0.0005189782479233,1407.97392578125,1410.9729736328125,1389.0392578125,0.997874482426236,1.0157905658151478,0.0130231652159896,-0.319552770145346,4349966.4,1.1284714750897549,0.0453745953452182,-0.0061211181305866,0.0024877196709447,-0.0109422139838751,-0.0125237368589482,-0.0070210319156155,-0.0002667080011772,0,11,0,0,1,xg_INFY.NS,0,0.0
