Date,sentiment
2026-02-13,0.3182
2026-02-14,0.10606666666666666
2026-02-15,0.12765
2026-02-16,-0.09106666666666667
2026-02-17,0.0209
2026-02-18,-0.056475000000000004
2026-02-19,-0.14006000000000002
2026-02-20,-0.074475
2026-02-21,0.13396666666666665
2026-02-22,0.0
2026-02-23,0.20134
2026-02-24,0.148
2026-02-25,0.2546
2026-02-26,0.23152
2026-02-27,0.19063333333333332
2026-03-01,0.31245
2026-03-02,-0.0386
2026-03-03,0.0418125
2026-03-04,0.1468
2026-03-05,0.1744
2026-03-06,0.0
2026-03-07,0.33575
2026-03-08,0.0
2026-03-09,0.08038
2026-03-10,0.064
2026-03-11,-0.15860000000000002
