run_id,stock,model,position,returns,strategy_ret,equity,date
20260420_0616,xg_INFY.NS_rf,XGBoost,0.0,0.0161241620020948,0.0,1.0,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.4504899866147,0.0229895962183175,0.14506891520926488,1.1450689152092648,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.028114971888741,-0.0125237368589482,-0.08830707501500572,1.0439512286165291,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.49478870625526,-0.0145175997040645,-0.12405727887520508,0.9144414799159354,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.682323400841139,-0.0109422139838751,-0.0740256452141668,0.8467493593545607,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.863537442220287,-0.0043264761562485,-0.029785538111974465,0.8215284740402155,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.852941591367402,0.0024877196709447,0.017042899675253322,0.8355297014036469,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.419893409394054,-0.0061211181305866,-0.04570151998427529,0.7973447240574926,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.834715357627067,0.0453745953452182,0.30982985462619295,1.0443859239991875,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.692537133295025,0.0096808914568435,0.07404170612733321,1.1217140396674588,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.638040240189705,0.0054879169944579,0.04188968239193772,1.168702284523706,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.935968068381284,0.0055207569472475,0.03794075781349858,1.2130437348569023,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.169772987318716,-0.0096082796808838,-0.07911436625095647,1.1170745485390052,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.202053661117676,0.0037797115234414,0.030985256401911722,1.1516873898455362,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.586652079399463,-0.0158151291600763,-0.12029158331912305,1.0131490902323486,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.963702859285401,0.0107448139781376,0.08537998041024117,1.09965173970904,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.769428576271808,-0.001198708300486,-0.008711707365430938,1.0900718955488078,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.644787666355328,0.0294664445224832,0.22482703211178134,1.3351495246135099,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.856346467737938,0.0035895055411812,0.02809461977869337,1.3726600428552296,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.96370253021039,-0.0074894121198829,-0.052600360097780685,1.3004576303092095,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.96118067399418,0.0034804270865282,0.02422662084387787,1.3319633242422386,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.386887282125496,0.0036216333561533,0.026539744075024633,1.3673132899849465,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.996784215117758,0.0135477880792653,0.09459589824926012,1.4966555188392234,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.413320186838527,-0.0115865339434553,-0.09818948790782266,1.3496996798699834,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.631286008389552,0.0011295561949331,0.00822894929685822,1.3608062901016191,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.5132175844049085,-0.0163743713482025,-0.12308324895888326,1.1933138307122273,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.108667932634999,-0.0045880092016004,-0.03281690871193602,1.1541529596650535,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.067876510817612,0.0091248804642898,0.07313880447277088,1.2385663273136656,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.316223895802855,-0.0313859380784107,-0.19911643839055376,0.9919474115084997,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.41132698074514,-0.0140827378660852,-0.13408480238432,0.8589423388607449,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.486478231901488,0.0161258145772629,0.13638895000719947,0.9760925825746901,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.941638131077047,0.0046115167530045,0.036350577237348934,1.0115741113883747,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.841300461314525,-0.0246295318417805,-0.21820692239981343,0.7908416377629914,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.24110683180801,-0.0118792705303628,-0.10997751124027796,0.7038668426566322,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.3211749027647,-0.0097558220192921,-0.10123157941683521,0.6326132904753603,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.475238996546553,-3.29363284258255e-05,-0.0007350475366125198,0.632148289634568,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.54063993408061,0.0014925151715199,0.014206849378856903,0.6411291251705084,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.039132168189813,0.008280716418858,0.08288196045916031,0.6942671639721065,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.625293920118915,-0.0163923631379081,-0.1579882323717237,0.5845811219424238,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.037028869558355,0.0035402248940754,0.03532747199184424,0.6052328951548056,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.238363658454496,0.008286724311159,0.0847418296405536,0.6565214380488732,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.911582609551468,-0.0031025642129572,-0.028312147809657635,0.6379339060546245,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.937873875645733,0.00490026370713,0.043784793338685006,0.6658657102949663,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.82971707045937,-0.0061614602546783,-0.054458029192283104,0.6296039760055827,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.234071137135352,0.0104760561660002,0.08596276874080909,0.6837264769932445,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.547500149065623,-0.0009513557889864,-0.007523643453224162,0.6785823627608183,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.861902687876514,-0.0182260254800166,-0.12540801196122628,0.5934826976950324,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.196763823110599,-0.0131121304102107,-0.10814446675794046,0.5293008278227391,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.149924739567751,-0.0180992437655954,-0.1660832987565173,0.44139280030338324,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.024179270561849,0.0248186669234649,0.22390522683920802,0.5402229553805056,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.82679262183814,-0.0099025081613807,-0.08750607930092898,0.4929501626067968,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.627266769904414,0.0010206123855434,0.007184720007241185,0.4964918715026507,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.748091850928159,0.006355180094195,0.055035286652696254,0.5238164439715327,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.093935460913212,0.0155680000230133,0.1414014656597858,0.5978848568858045,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.982030305591818,0.0145312706773472,0.13046436102502962,0.6758875227059522,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.95935041423468,0.0091772744429357,0.07253380319324704,0.724912215258677,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.842001784850492,0.0038323842216123,0.029994889591424427,0.7466558771188359,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.86162400086275,-0.0042060138030632,-0.033075910170127794,0.7219595543992553,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.467085767005193,-0.0086750290025333,-0.07375494547877819,0.6687114668266553,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.167683634491436,0.0147161557688917,0.1200472035699466,0.7489884084143524,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.066052256713933,0.002519197282407,0.017249963953570837,0.7619084314611424,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.166081383644765,-0.0057348495328867,-0.041146413039088676,0.730558632442278,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.41551492163758,-0.0154568490152229,-0.11474521128288095,0.6467305278081563,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.434020795825912,0.0129349023939815,0.10858398284572418,0.7169551043454834,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.069824870857961,-0.0032818474875944,-0.023884184952641576,0.6998312160305554,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.121931336764486,0.0113121070491613,0.08053799644530303,0.7561942200195364,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.953430565142032,0.0210496670508404,0.14628314787156554,0.8668126909262774,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.8956189003593416,0.0098815141082546,0.06811024961665656,0.925851519676152,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.484728336095646,-0.0184756514062706,-0.13857978632620707,0.7975472139096368,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.255462262126298,-0.0047457058623834,-0.034546922828658976,0.7699944118584886,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.1104559129981,0.0179852091569956,0.1454407491284266,0.8819829759438894,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.828670118838232,0.0166613973122777,0.13029569037964014,0.9969015566975881,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.16759993698289,-0.0052257464690651,-0.03778659515328724,0.9592320411669745,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.364753485647248,-0.0255509027605562,-0.18827467694157235,0.7786329385042573,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.420647660008997,0.0164597546232425,0.1052102320932251,0.8605530906797201,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.834181489963025,0.0023851616230827,0.01609386050006494,0.8744027120740192,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.480762264997038,0.0029741285155884,0.021925457983148353,0.893574391997949,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.207113260392387,-0.0112373639276097,-0.08112577907683326,0.8210824732840077,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.574653520820728,0.0054616005921039,0.04118596202408221,0.8548995448473223,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.796098753144102,-0.0081322286198012,-0.0635103800192766,0.8006045498757624,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.193360906661006,-0.0112059945974333,-0.09201338913162288,0.7269382118874961,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.41687066379052,-0.0071072273827845,-0.04649440401491378,0.6931396529701198,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.233207702487332,-3.218725256048938e-05,-0.0002924613112335416,0.6929369364383442,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.878900997088707,-0.0266662374894851,-0.21092349179180914,0.5467802582132497,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.742964313507116,-0.014410734551414,-0.11164977170481337,0.48573236721104146,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.980126703356626,0.0057143255952287,0.04548246107923404,0.5078246706976419,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.38220658629099,-0.0159754647381233,-0.11823314106736611,0.44778296476955887,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.97224278506321,0.0048568671249613,0.04278197292055861,0.46694000344261755,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.726672420236538,0.0190290909571868,0.1847125193778547,0.5531896678768076,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.680385454708077,-0.0097847069563352,-0.09474287838145243,0.5007788864512791,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.357259096951297,-0.0082400824266829,-0.06178598457221967,0.4698377698989071,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.612237283908271,-0.0059779342667286,-0.05858881173287998,0.44231053325330383,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.499482694267808,-0.0247699082346418,-0.23535769190840167,0.33820934704003186,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.342979625911507,-0.010521921550991,-0.10924976869316097,0.3012600541060434,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.368894047172846,-0.0002464237853598,-0.0025680993317296987,0.3004863883624168,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.899938292404713,-0.0109535135248656,-0.10867358585857394,0.2678314550373809,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.179110457698544,0.0118225594204046,0.10816016489524521,0.2968001493783575,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.288936826714412,-0.0120010807699398,-0.1240332750787157,0.2599870548071078,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.340419070256685,-0.0092259705167206,-0.09542614259449475,0.23517749304236202,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.949245437788631,-0.0010427355024592,-0.011721580126887605,0.2324208412136254,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.344148648761788,-0.0105811843047203,-0.10975589172248534,0.20691128453133378,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.950054234075113,0.004437820260436,0.04829141974019488,0.21690332422161931,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.721023637622956,0.0060114883179092,0.05782330473746352,0.22944539123665483,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.131574277479944,-0.0081714721212911,-0.08299515207314587,0.21040253609848622,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.818731842123881,0.0043192032662235,0.037433474158772614,0.2182786339964691,
20260420_0616,xg_INFY.NS_rf,XGBoost,10.098646791429264,0.0320913583294508,0.3234393353516624,0.28887853029775584,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.37342841950826,-0.0119751950510903,-0.11261124280700498,0.2563475599806645,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.983535688849331,0.0090015263396179,0.061667534081509434,0.2721558818724839,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.146786717351514,-0.001159109005427,-0.011683748369053297,0.26897608103152804,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.37032043676744,0.0040087478225689,0.037451484787956374,0.27904963463860444,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.597492814836077,-0.0150252029888552,-0.12956548854910183,0.2428944323972053,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.030214920642123,0.0157522947485915,0.14203024602018052,0.27739278838751247,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.727744600791656,-0.0273752461566388,-0.23907539199887207,0.21107499876610775,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.657505574462475,-0.0942269144940951,-0.7220782425160968,0.05866233461798937,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.709022184583818,0.0008344842883925,0.0064072995868437515,0.05903820177035051,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.929108160412232,-0.0215588600359852,-0.1710525760284296,0.04893956527344586,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.650207753526324,-0.0071415532019465,-0.0621364686762554,0.045898633508802834,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.293785311684043,0.0032287313023633,0.022871461727630788,0.04694840234844998,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.351850756387034,-0.0008554189128914,-0.007673363817011308,0.046588150176602894,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.58377192458589,-0.0011417159385997,-0.00991618980370376,0.04612617323684824,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.123928913930175,0.0021634705762567,0.017345959663561127,0.04692627597724905,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.760153053473143,0.0152334735234176,0.11803219814752286,0.052465087481721046,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.330322112494525,0.0052156258377202,0.04316275871694767,0.05472962539375812,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.010682810790701,0.0197166503135077,0.15778401210193532,0.06336508526922124,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.936365360891834,-0.0064972364499986,-0.05852452002834188,0.059656674067285115,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.300155494586193,0.0034668164825273,0.020523377977963525,0.06088103053807618,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.307088299450571,-0.0113462993182291,-0.09525817671095714,0.05508161457273494,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.649722149299373,0.0051625026573103,0.03916302784836787,0.05723877737818002,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.035369380962553,0.0040297251253578,0.032187506270163965,0.05908115088393671,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.598073147352565,-0.0058628418463531,-0.04476494931675541,0.0564363861590417,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.673422973053089,-0.0056600330378443,-0.04346950245368418,0.05398312453242417,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.624193372437218,-0.00867787795446,-0.0661864343875209,0.0504101740025255,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.200710967433103,0.0105606221914376,0.0863163514307418,0.05476139629741234,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.187457400749459,0.0047285214760381,0.03870794137024907,0.05688109721464556,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.616436663651622,-0.0137626539375093,-0.10510789240734411,0.05090244496859691,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.283710705304326,-0.000721811792432,-0.0063129170930102145,0.05058110205367864,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.759487265702344,0.0183789035982169,0.16075188374595292,0.05871210949075377,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.587856315493186,0.0188352884632128,0.1616689355078334,0.06820403373354329,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.0022103526396595,0.0056079792886731,0.03847542765110881,0.07082821309897203,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.562779647056389,-0.00107684570822,-0.007286816449717873,0.07031210091065832,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.496473008201051,0.0043890998962989,0.0324359222223304,0.07259273874708508,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.990492613343261,0.0100431420401516,0.08000264248401744,0.07840034967200381,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.935490243452183,-0.0023149799224945,-0.018398001773688336,0.0769579398996805,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.195072897756297,0.0071896061539034,0.05878955521024359,0.08148226295627937,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.738401721791931,-0.004192142407367,-0.03266881761114794,0.07882033376921709,
20260420_0616,xg_INFY.NS_rf,XGBoost,6.686614320541731,0.0009101894880232,0.005560192364397376,0.07925858998719994,
20260420_0616,xg_INFY.NS_rf,XGBoost,9.44993391348094,-0.0023042209114679,-0.023156395131902076,0.07742324675985893,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.6618562539365715,0.0042340771935018,0.031546851994909794,0.07986570646635757,
20260420_0616,xg_INFY.NS_rf,XGBoost,7.818797784718829,-0.0195476885615129,-0.1529178947865218,0.06765281076788388,
20260420_0616,xg_INFY.NS_rf,XGBoost,8.55240190455114,0.0077793917741497,0.06616568296557121,0.07212910519688147,
