Date,Close,High,Low,Open,Volume,RSI,SMA_20,EMA_20,MACD,MACD_SIGNAL,BB_LOWER,BB_MIDDLE,BB_UPPER,returns,log_returns,volatility_7,volatility_14,momentum_5,momentum_10,close_lag_1,close_lag_3,close_lag_5,returns_lag_1,returns_lag_3,target,stock,prob_up,signal
2022-10-25,243.56304931640625,243.93228026742983,238.86979966752605,240.25930485991768,34775500,57.91152639804457,231.417928314209,233.74730522849464,-1.5093143074898308,-4.144364920252275,216.3957334524511,231.417928314209,246.44012317596687,0.0137916816502612,0.0136974419033544,0.0166028794465148,0.0252985996251215,11.815704345703123,24.535125732421847,240.2496032714844,229.46388244628903,231.74734497070312,0.0211878507881244,-0.0013953635389176,0,MSFT,0.4953837092681357,SELL
2022-10-26,224.7705993652344,231.55296912820415,223.5462644989959,224.62483744809148,82543200,42.6127094066206,230.9442291259766,232.89238086056508,-2.095546853968557,-3.7346013069955313,215.7014617712278,230.9442291259766,246.18699648072536,-0.0771564077716857,-0.0802955147125361,0.0347568765760537,0.0327591235222373,-5.013916015624943,5.412292480468807,243.56304931640625,235.2648468017578,229.78451538085935,0.0137916816502612,0.0252805116588517,0,MSFT,0.5108014823389765,BUY
2022-10-27,220.3300018310547,227.0735112053549,219.3874643636516,224.49853205636384,40424600,39.92848764494928,230.42194747924808,231.6959638101355,-2.8852006825235605,-3.5647211821011373,214.45618062350349,230.42194747924808,246.3877143349927,-0.019756131570233,-0.0199538929378872,0.0350861141325566,0.0303081665347183,-9.133880615234348,-7.2779541015625,224.7705993652344,240.2496032714844,229.46388244628903,-0.0771564077716857,0.0211878507881244,1,MSFT,0.5040038466214574,BUY
2022-10-28,229.1917724609375,229.9011145363862,219.64981530818488,219.83443818188343,40647700,47.09110442110424,230.5662422180176,231.45746939592615,-2.7640736810586475,-3.4045916818926396,214.7052871181287,230.5662422180176,246.42719731790652,0.0402204445887395,0.0394326566423837,0.0392441347348312,0.0317040425256056,-6.0730743408203125,7.10302734375,220.3300018310547,243.56304931640625,235.2648468017578,-0.019756131570233,0.0137916816502612,0,MSFT,0.48592810177176515,SELL
2022-10-31,225.5576934814453,228.2686935125121,224.6054296076982,227.14153310691304,28357300,44.735440100964105,230.1479309082031,230.89558597549944,-2.927572231767158,-3.3091877918675436,214.21868680073285,230.1479309082031,246.07717501567345,-0.0158560621110932,-0.0159831142851318,0.0397265308803754,0.0316631248776486,-14.691909790039093,-5.247100830078125,229.1917724609375,224.7705993652344,240.2496032714844,0.0402204445887395,-0.0771564077716857,0,MSFT,0.5416544511042971,BUY
2022-11-01,221.7097930908203,229.0654698713663,220.8935796720303,227.95774742393272,30592300,42.32137782714193,229.14174804687505,230.02074855791096,-3.3292617572807615,-3.3132025849501874,213.78856142977745,229.14174804687505,244.49493466397263,-0.0170594952060082,-0.0172066847826082,0.03811464715099,0.0320971232652835,-21.853256225585938,-10.037551879882812,225.5576934814453,220.3300018310547,243.56304931640625,-0.0158560621110932,-0.019756131570233,0,MSFT,0.5147437629413801,BUY
2022-11-02,213.86827087402344,224.75116008206984,213.8099572114699,222.96325992629187,38407000,37.840022501458165,227.7279441833496,228.4824173499217,-4.231570003883121,-3.4968760687367744,212.209491465905,227.7279441833496,243.24639690079425,-0.0353684070851335,-0.0360090195356272,0.0369203666200311,0.0316607980577537,-10.902328491210966,-15.916244506835907,221.7097930908203,229.1917724609375,224.7705993652344,-0.0170594952060082,0.0402204445887395,0,MSFT,0.5042459983830349,BUY
2022-11-03,208.18392944335935,214.1695246254523,207.92156981485337,213.85857768399836,36633900,34.95086036141839,226.1470100402832,226.54922802548717,-5.343735382397995,-3.866247931469019,209.41324256154556,226.1470100402832,242.88077751902088,-0.0265787038321938,-0.0269383036961494,0.0345919769519283,0.0317815184223126,-12.14607238769534,-21.279953002929688,213.86827087402344,225.5576934814453,220.3300018310547,-0.0353684070851335,-0.0158560621110932,1,MSFT,0.5206900213714283,BUY
2022-11-04,215.12173461914065,215.31606900887368,207.3871013629504,211.39046095991677,36789100,40.88359808970753,225.5226989746094,225.46089532012084,-5.600749606443912,-4.213148266463998,208.10089064662156,225.5226989746094,242.94450730259723,0.0333253637508503,0.0327821102940726,0.0299370531421889,0.0311939050888893,-14.070037841796848,-20.14311218261716,208.18392944335935,221.7097930908203,229.1917724609375,-0.0265787038321938,-0.0170594952060082,1,MSFT,0.4986659725991635,SELL
2022-11-07,221.41830444335935,221.9430237085704,215.01489088874337,215.70479515914553,33498000,45.72202143660354,225.45565338134767,225.0758866651912,-5.2359973503434105,-4.417718083239881,207.9788326929844,225.45565338134767,242.93247406971096,0.0292697984951002,0.0288496173294579,0.031821749194679,0.0324320423320481,-4.139389038085966,-18.831298828125057,215.12173461914065,213.86827087402344,225.5576934814453,0.0333253637508503,-0.0353684070851335,1,MSFT,0.5102403332753812,BUY
