Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-04,262.7745361328125,265.3091138286597,261.8655713289214,263.87575363942096,1963682
2010-01-05,262.84429931640625,265.53619847049964,260.99144086982227,263.94553757780085,2014488
2010-01-06,256.9011535644531,262.966669752013,256.2544081362935,262.84429809148855,3349176
2010-01-07,249.75196838378906,258.4918885912607,248.56333070049456,257.12845250381685,6474892
2010-01-08,244.64776611328125,251.18522866335886,243.49410127213562,250.31123691435621,6048178
2010-01-11,249.6820068359375,251.7446148890396,244.85757588162792,246.11611566529388,4318408
2010-01-12,262.21514892578125,263.59606093962327,254.1569446990797,255.90492918806925,9027690
2010-01-13,275.6745300292969,278.4188774894873,260.3272445557973,260.44959489080276,10910272
2010-01-14,272.6330871582031,279.1356011852817,268.96232033794354,279.1356011852817,10327614
2010-01-15,276.6708984375,279.5375749448024,269.97611160872594,278.27903508002055,7945008
2010-01-18,280.446533203125,289.81572237297564,277.23023865110935,279.67741604147227,7261084
2010-01-19,272.9302978515625,280.44663102955207,272.21362849050365,280.44663102955207,5154850
2010-01-20,272.4757385253906,276.9505730362403,269.504165899117,276.9505730362403,4347054
2010-01-21,269.41680908203125,276.8632173904343,268.45541778701516,269.97615548223433,5089504
2010-01-22,264.9418029785156,267.4414274696789,260.3446200017461,266.0430409208179,7574990
2010-01-25,264.36505126953125,267.61629658823813,259.1036247550277,264.819522750608,3008286
2010-01-27,260.54437255859375,266.2929722371635,259.44023527133703,262.89288662462934,4844398
2010-01-28,260.0009765625,265.6794652637505,255.0761224379795,262.717535468276,6537196
2010-01-29,258.0556335449219,259.3175107048941,249.6255401820371,257.2844768830386,5473326
2010-02-01,261.54339599609375,267.37960563603764,252.37718817347053,257.40719718560507,3378012
2010-02-02,258.8267822265625,267.32698436831447,257.63499275000896,264.6454687432065,4739188
2010-02-03,263.9269104003906,265.311483746488,257.8102655586551,260.78971798183466,2977676
2010-02-04,258.9319763183594,264.25994320043753,256.75872413555766,263.92694125888045,2716612
2010-02-05,253.60389709472656,257.634919647027,251.18527500563877,257.634919647027,4607118
2010-02-08,253.8319091796875,257.54745423185216,248.22352637232495,255.53194166045625,4170344
2010-02-09,257.6875305175781,260.07108761983955,252.745133052526,254.12970607482228,3005894
2010-02-10,256.68853759765625,260.68451690149664,255.21633357022705,259.35253093164044,2337374
2010-02-11,260.333984375,262.1742339986768,257.6349473147531,258.6689966202448,2413156
2010-02-15,261.54339599609375,262.8929043473652,258.87940172880616,262.8929043473652,1956482
2010-02-16,265.7496337890625,268.13319140636673,260.1587747684808,261.92891572133226,1660490
2010-02-17,265.9249572753906,269.18482516825327,263.7867487132865,268.1157315843414,2528290
2010-02-18,265.9775695800781,268.8343483367247,264.8208448213302,266.3982025998821,1814806
2010-02-19,263.0855712890625,266.2227628323663,261.4205836347455,264.610362293262,2215880
2010-02-22,265.4342041015625,267.69508737210555,264.22489245506,265.34657313289244,2143460
2010-02-23,267.13421630859375,268.15074402666744,263.33104111115546,266.0476009362622,1853052
2010-02-24,268.27337646484375,270.148691594308,263.62893620672804,264.99598755739265,4076058
