Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,222.17857360839844,223.6582816919769,220.7073571847917,221.9574582570569,4069264
2010-01-05,222.92263793945312,223.71776027428135,221.11551341211555,222.8078240764456,6895528
2010-01-06,219.66978454589844,228.16538641743236,218.98945540264856,228.16538641743236,6817288
2010-01-07,214.73326110839844,219.96755050887128,214.1507206516973,219.96755050887128,10892600
2010-01-08,209.55841064453125,214.58435122532325,209.03115963430625,214.21867010529593,12649312
2010-01-11,211.72274780273438,213.00262160726257,210.39186175166995,210.4854153466607,7849656
2010-01-12,219.99725341796875,220.5967978266062,212.6029277434524,212.6029277434524,24859680
2010-01-13,228.2079620361328,229.18593541545667,210.63421392030162,210.63421392030162,19704040
2010-01-14,228.7394256591797,229.8577084399525,225.3760441353437,227.82523332686768,8413904
2010-01-15,227.55319213867188,228.97337568317266,225.7120381462624,228.73951243967082,5049504
2010-01-18,228.475830078125,228.76072627624401,225.86932676197176,226.46461489726312,6140088
2010-01-19,224.1599884033203,228.59064120468523,223.49668395585493,227.91031191538556,5837512
2010-01-20,226.01390075683594,227.33203881835274,224.3385939536314,225.24427405884,6091992
2010-01-21,223.25003051757812,226.60915605828515,221.10699761616,224.76376719211956,6682792
2010-01-22,219.03207397460938,221.9574822946867,217.02509379924925,221.10707048512853,13486496
2010-01-25,216.2001495361328,218.55152935226968,214.13364515448137,216.85496232880362,6498712
2010-01-27,212.79429626464844,215.48160590303624,211.34008375717775,215.32427141256463,9840856
2010-01-28,211.9013214111328,217.27166263863342,210.85956714714712,213.70844615478148,12732872
2010-01-29,210.5194091796875,212.60291777387144,204.50700281744315,208.55494991465545,15012280
2010-02-01,208.4571075439453,215.15409774041066,203.25684981047348,208.09568267619957,12308784
2010-02-02,207.49615478515625,212.6879212700376,205.93989755029259,212.6879212700376,9889384
2010-02-03,210.32382202148438,212.60292957897192,208.35087098739248,208.35087098739248,6405608
