Date,Close,High,Low,Open,Volume,sentiment_score,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_SIGNAL,BB_LOWER,BB_MIDDLE,BB_UPPER
2010-01-04,15.555864334106444,15.624368011883234,15.493567368563983,15.560828190523049,78169752,0.0,,,,,,,,,,
2010-01-05,15.4873628616333,15.582919942994092,15.426554669728128,15.566538647973085,120067812,0.0,,,,,0.0,,,,,
2010-01-06,15.096943855285645,15.5337735905078,15.049786277126842,15.5337735905078,158988852,0.0,,,,,0.0,,,,,
2010-01-07,14.745495796203612,15.140132809436482,14.709507835023048,15.125240293435954,256315428,0.0,,,,,0.0,,,,,
2010-01-08,14.94207000732422,14.972597536172898,14.621643984303,14.693373982065,188783028,0.0,,,,,12.079025666058367,,,14.46769033567136,15.165547370910645,15.863404406149929
2010-01-11,14.91948413848877,15.002630629433716,14.744006886730208,15.002630629433716,288227484,0.0,,,,,11.901150307752092,,,14.477728493504793,15.03827133178711,15.598814170069426
2010-01-12,14.655648231506348,14.84626486135361,14.594094708320636,14.83360645975559,193937868,0.0,,,,,10.041019531543142,,,14.524688340324243,14.871928405761718,15.219168471199193
2010-01-13,14.571508407592772,14.603525659974146,14.24413413017102,14.308417395269844,259604136,0.0,,,,,9.529483442093214,,,14.442836063361476,14.766841316223147,15.090846569084817
2010-01-14,14.64001178741455,14.74797850733287,14.465279871224102,14.492333268362035,169434396,0.0,,,,,13.397803999891421,,,14.401674569813348,14.745744514465333,15.089814459117317
2010-01-15,14.395535469055176,14.732093068520234,14.346887216937448,14.726631691433,217162620,0.0,,,,,11.506848675081935,,,14.258619128108544,14.636437606811525,15.014256085514505
2010-01-19,14.58466339111328,14.65415927752993,14.303454473577991,14.425320562231036,172495332,0.0,,,,,20.81750637587861,,,14.362371920424048,14.569473457336425,14.776574994248802
2010-01-20,14.40571117401123,14.543957603681072,14.27863436727496,14.543957603681072,129897972,0.0,,,14.83335828781128,,18.801762380051983,,,14.296350809296309,14.519486045837402,14.742621282378495
2010-01-21,14.46949863433838,14.56480694762187,14.203181305682053,14.480916071614043,252055692,0.0,,,14.77737987958468,,21.711717851102723,,,14.281137881758296,14.499084091186523,14.71703030061475
2010-01-22,13.651187896728516,14.162228682717403,13.27516628570426,14.010828212804944,271743984,0.0,,,14.604119574529886,,14.521756980432876,,,13.55901657571227,14.301319313049316,15.043622050386361
2010-01-25,13.402739524841309,13.64796046243213,13.291297732927893,13.566301808870705,176619204,0.0,,,14.419291874577796,,13.10300690170082,,,13.029236231499912,14.102760124206544,15.176284016913176
2010-01-26,13.462803840637209,13.641010832084872,13.310658987964697,13.352356139948576,174045780,0.0,,,14.272139869356167,,15.258506326487545,,,12.840094872016902,13.878388214111329,14.916681556205756
2010-01-27,13.45486068725586,13.59261148273977,13.286333604429151,13.43425992696555,158417424,0.0,,,14.146404610571505,,15.20479266439094,,,12.794609815225545,13.688218116760257,14.58182641829497
2010-01-28,13.261016845703123,13.576478025853616,13.169431433322986,13.514180120278724,129034836,0.0,,,14.010191108284062,,13.917227522782234,,,13.1662507674468,13.446521759033207,13.726792750619614
2010-01-29,13.153051376342772,13.427311064471787,13.04558123647957,13.365261913381628,165454380,0.0,,,13.87832345721617,,13.244496119670686,,,13.076412537383408,13.346894454956058,13.617376372528707
2010-02-01,13.229497909545898,13.298745984189614,13.16198831986633,13.26871313621268,89941968,0.0,14.30424780845642,,13.778504142189975,,16.328563106421004,,,13.033281594144421,13.312246131896973,13.591210669649525
2010-02-02,13.182339668273926,13.277647987225247,13.09522152372814,13.277647987225247,163684152,0.0,14.185571575164794,,13.686786530818274,,15.951840186037362,,,13.018882885114758,13.256153297424316,13.493423709733873
2010-02-03,13.423091888427734,13.45486132688158,13.110610120756004,13.121530983456614,119844036,0.0,14.082358026504517,,13.646218124296652,,25.41281093123412,,,13.038898462188953,13.249799537658692,13.46070061312843
2010-02-04,13.074621200561523,13.353099415690544,13.044340540756483,13.32828013308655,134972892,0.0,13.981241893768308,,13.55828013602971,,21.619386096165904,,,12.951575552162367,13.212520408630372,13.473465265098376
2010-02-05,13.186558723449709,13.24141085178772,12.96739991629646,13.11482872612867,126113760,0.0,13.903295040130612,,13.501092226402017,,25.468095485878266,,,12.96426087524687,13.21922187805176,13.47418288085665
2010-02-08,13.2406644821167,13.452379379604984,13.192514698922285,13.216589590519492,107664228,0.0,13.818224763870239,,13.461026419588892,,27.325643866355062,,,12.96584931836015,13.22145519256592,13.47706106677169
2010-02-09,13.314380645751951,13.440714008965983,13.28037709386677,13.39132231283546,112671216,0.0,13.737969589233396,,13.438465531306285,14.057946645296537,29.889450140110828,-0.6194811139902523,,12.985275279817802,13.247863388061525,13.510451496305247
2010-02-10,13.26499080657959,13.347888539613397,13.097207149386197,13.255558721942904,106873020,0.0,13.668436717987062,,13.411777112117562,13.99920917576195,29.147516371751397,-0.5874320636443873,,13.033099388561785,13.216243171691897,13.399386954822008
2010-02-11,13.31338882446289,13.414902915428142,13.142131975544482,13.236943724570953,96303600,0.0,13.605530738830568,,13.396640452478382,13.948407668258316,30.9561348155138,-0.5517672157799343,,13.15666475900732,13.26399669647217,13.371328633937019
2010-02-12,13.231978416442873,13.332002771833045,13.1669507622294,13.22825646997989,91096812,0.0,13.535129070281984,,13.371307831549842,13.895338834790506,29.587952933043077,-0.5240310032406637,,13.194747464013792,13.273080635070801,13.35141380612781
2010-02-16,13.435006141662598,13.50524641531156,13.261266430842522,13.325054069234309,146029824,0.0,13.487102603912357,,13.381107571567188,13.861240116781032,37.0591441294597,-0.4801325452138432,,13.157834034953584,13.311948966979982,13.466063899006379
2010-02-17,13.358312606811523,13.487128850833882,13.343421036608952,13.452380907837703,81106812,0.0,13.425785064697267,,13.37760065391247,13.82398622715366,35.52568085330923,-0.44638557324119077,,13.161019727928792,13.320735359191897,13.480450990455001
2010-02-18,13.482660293579102,13.527088134463895,13.306935229370527,13.341683171517486,93382524,0.0,13.379632520675662,,13.393763675399644,13.798702824666657,39.87010369394566,-0.4049391492670136,,13.166417516680317,13.364269256591797,13.562120996503277
2010-02-19,13.421603202819824,13.502763392615613,13.395294195533973,13.415894956946367,102021876,0.0,13.327237749099735,,13.398046679618133,13.77076951934467,38.498367134654224,-0.37272283972653675,,13.192258824349743,13.385912132263183,13.579565440176623
2010-02-22,13.47223663330078,13.58889010670967,13.427560975846273,13.585166268219664,85698216,0.0,13.318290185928348,,13.409460518646233,13.748655972230308,40.331747581168386,-0.3391954535840753,-0.48067632863198856,13.335408551899999,13.433963775634766,13.532518999369533
2010-02-23,13.280377388000488,13.49283574665455,13.211379024777727,13.477199787581847,114789096,0.0,13.312172079086306,,13.389601575469964,13.713968669694767,35.957660372105046,-0.3243670942248027,-0.44941448175055143,13.234162882346663,13.403038024902344,13.571913167458025
