Date,Close,High,Low,Open,Volume,sentiment_score,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_SIGNAL,BB_LOWER,BB_MIDDLE,BB_UPPER
2010-01-04,23.07738494873047,23.18922982283887,22.80895611312252,22.831325656818095,38409100,0.0,,,,,,,,,,
2010-01-05,23.08483505249023,23.189224811659603,22.846232326704975,23.002816254366817,49749600,0.0,,,,,100.0,,,,,
2010-01-06,22.943172454833984,23.174318736998828,22.756763841627052,23.025191277559337,58182400,0.0,,,,,40.606157536974315,,,,,
2010-01-07,22.704565048217773,22.890973623581846,22.510699959176993,22.83877802784487,50559700,0.0,,,,,19.547141339320977,,,,,
2010-01-08,22.861148834228516,23.025187877641937,22.54798235339588,22.57780840975358,51197400,0.0,,,,,41.125593094872315,,,22.61587862970388,22.934221267700195,23.252563905696512
2010-01-11,22.570350646972656,22.93571128403326,22.45850578618832,22.89842871564877,68754700,0.0,,,,,26.76708176502181,,,22.430531835519886,22.832814407348636,23.235096979177385
2010-01-12,22.421226501464844,22.66728580010039,22.301925109531535,22.480877197431496,65912100,0.0,,,,,22.44028441895096,,,22.27624578552267,22.700092697143557,23.123939608764445
2010-01-13,22.62999153137207,22.756749364601404,22.3764758649134,22.562884359533953,51863500,0.0,,,,,37.63804835813556,,,22.31210108961308,22.637456512451173,22.962811935289267
2010-01-14,23.08483505249023,23.189224811659603,22.56289194538109,22.60017308796587,63228100,0.0,,,,,57.279350541279676,,,22.19141943077789,22.713510513305664,23.235601595833437
2010-01-15,23.01026725769043,23.293607571170675,22.89842101234793,23.174306236843822,79913200,0.0,,,,,54.262035677980855,,,22.16506148625661,22.74333419799805,23.321606909739486
2010-01-19,23.189220428466797,23.293608745720412,22.87605405452179,22.9282482131486,46575700,0.0,,,,,59.74277518724999,,,22.213892577743657,22.867108154296876,23.520323730850095
2010-01-20,22.8089542388916,23.069926538490044,22.600176114775923,22.97299327929238,54849500,0.0,,,22.865495999654133,,46.88584987665888,,,22.496105533440772,22.94465370178223,23.393201870123686
2010-01-21,22.376482009887695,22.905881597344184,22.36902549739311,22.823862804272427,73086700,0.0,,,22.790263078151604,,37.10566360387963,,,22.251963609269325,22.89395179748535,23.535939985701376
2010-01-22,21.59356689453125,22.518154603087503,21.50409158220932,22.369027186305026,102004600,0.0,,,22.60615597297924,,26.378295220452873,,,21.322145195338305,22.595698165893555,23.869251136448806
2010-01-25,21.861995697021484,22.115511452486352,21.697956676149577,21.80234501468766,63373000,0.0,,,22.491669776678048,,33.47913921953035,,,21.052771820113435,22.366043853759766,23.679315887406098
2010-01-26,21.99620819091797,22.257180436941994,21.69049829254775,21.7725185070027,66639900,0.0,,,22.415444917330344,,36.76328134883958,,,21.179186936746927,22.12744140625,23.075695875753073
2010-01-27,22.122970581054688,22.23481544588049,21.638308552019794,21.88436782351041,63949500,0.0,,,22.370448865595627,,39.78696769388605,,,21.406607740971737,21.990244674682618,22.5738816083935
2010-01-28,21.74269676208496,22.272097871369255,21.541375153391584,22.24972832967512,117513700,0.0,,,22.273871618901676,,34.46325726921265,,,21.448281637388146,21.86348762512207,22.278693612855992
2010-01-29,21.011972427368164,22.309375792110025,20.62424229385421,22.294462766470783,193888500,0.0,,,22.079733281742673,,26.989887304964384,,,20.877130503445226,21.747168731689452,22.61720695993368
2010-02-01,21.18346786499023,21.235662032319773,20.818107271499077,21.168554839414824,85931100,0.0,22.413765621185306,,21.94184629454999,,30.783504047932283,,,20.626851592129487,21.6114631652832,22.596074738436915
2010-02-02,21.22075080871582,21.250576862399335,20.98214806798577,21.153645032296943,54413700,0.0,22.32093391418457,,21.83090852749858,,31.615403865254407,,,20.53234759257168,21.456371688842772,22.380395785113866
2010-02-03,21.34750747680664,21.46681026256214,20.96723526928914,21.07162360686771,61397900,0.0,22.234067535400392,,21.756539135084434,,34.49785684821988,,,20.752599508647545,21.301279067993164,21.849958627338783
2010-02-04,20.758453369140625,21.250571759264652,20.736083834249833,21.16109504188566,77850000,0.0,22.124831581115725,,21.602987478785387,,28.48833326112147,,,20.64933434875989,21.104430389404296,21.559526430048702
2010-02-05,20.892669677734375,21.086534731603724,20.557133734078903,20.877756653086507,80960100,0.0,22.034236812591555,,21.49370781708523,,31.419777274959195,,,20.590100776988116,21.08056983947754,21.571038901966965
2010-02-08,20.668973922729492,20.93740261724026,20.557129107411335,20.885208464904053,52820600,0.0,21.924628067016606,,21.366825679492038,,29.266441481246662,,,20.389077564004072,20.97767105102539,21.566264538046706
2010-02-09,20.885223388671875,21.13128272706984,20.691358239906048,20.85539732477636,59195800,0.0,21.840371704101564,,21.29273301936586,22.07880350259634,33.9771366013495,-0.7860704832304819,,20.387702903672356,20.9105655670166,21.433428230360846
2010-02-10,20.87030029296875,21.056708835873632,20.75845545166268,20.900126342482004,48591300,0.0,21.76282539367676,,21.227743369150918,21.98928474632763,33.809800110658585,-0.7615413771767123,,20.61880020093494,20.815124130249025,21.01144805956311
2010-02-11,20.967241287231445,21.17601802231094,20.654074762427356,20.825570344009755,65993700,0.0,21.67968788146973,,21.18766612577869,21.913577823431616,36.01434884318074,-0.7259116976529256,,20.6338286695997,20.856881713867185,21.07993475813467
